Step,Current Year,Household ID,Laborers in Household,Migrants from Household,Household Size,Total Income,Local Off-Farm Income,Household Remittances,GTGP and non-GTGP Land Income
5,2021,139,2,1,2,3832.0,0.0,0,3832.0
5,2021,140,2,1,3,13139.200000000004,7800.0,0,5339.2
5,2021,141,2,1,4,7320.0,0.0,0,7320.0
5,2021,142,2,1,3,11592.0,7200.0,0,4392.0
5,2021,143,5,0,3,1488.0,0.0,0.0,1488.0
5,2021,144,2,1,4,15000.0,0.0,0,15000.0
5,2021,145,0,1,2,13840.0,0.0,0,13840.0
5,2021,146,0,0,3,1020.0,0.0,0.0,1020.0
5,2021,148,3,1,4,24620.0,10400.0,5000.0,9220.0
5,2021,149,1,0,1,20440.0,7000.0,0.0,13440.0
5,2021,150,1,1,2,56856.0,48000.0,0,8856.0
5,2021,151,2,1,4,89120.0,0.0,0.0,89120.0
5,2021,154,2,0,3,47280.0,28000.0,0.0,19280.0
5,2021,155,1,1,4,27720.0,0.0,15000,12720.0
5,2021,157,0,1,1,3440.0,0.0,0,3440.0
5,2021,159,1,1,2,17008.0,0.0,0,17008.0
5,2021,160,2,1,2,31500.0,26400.0,0,5100.0
5,2021,161,4,1,5,11160.0,2000.0,0,9160.0
5,2021,163,2,1,3,23440.0,10000.0,10000,3440.0
5,2021,165,2,1,6,31234.0,30000.0,0,1234.0
5,2021,166,2,0,3,10620.0,0.0,0.0,10620.0
5,2021,167,2,1,3,8408.0,0.0,5000,3408.0
5,2021,168,2,1,3,1908.0,0.0,0,1908.0
5,2021,169,3,1,6,35786.0,0.0,20000,15786.0
6,2022,1,0,1,2,12480.0,0.0,0,12480.0
6,2022,2,4,1,8,2568.0,0.0,0,2568.0
6,2022,3,1,1,3,37392.0,2000.0,0,35392.0
6,2022,5,3,1,5,27060.0,0.0,0,27060.0
6,2022,6,2,0,5,44980.0,18000.0,0,26980.0
6,2022,8,3,1,6,39340.0,0.0,0,39340.0
6,2022,9,4,1,4,28250.0,11000.0,0,17250.0
6,2022,11,3,1,6,13380.0,0.0,3000,10380.0
6,2022,14,3,1,8,45940.0,33000.0,0,12940.0
6,2022,16,5,0,6,14760.0,1500.0,0,13260.0
6,2022,17,3,1,3,17920.0,0.0,0.0,17920.0
6,2022,18,1,1,2,23000.0,12000.0,5000,6000.0
6,2022,19,0,0,1,23010.0,0.0,0,23010.0
6,2022,22,1,1,5,43520.0,12000.0,0,31520.0
6,2022,25,0,1,4,15288.0,0.0,0,15288.0
6,2022,27,3,1,9,41760.0,0.0,0,41760.0
6,2022,30,0,0,2,21999.999999999996,0.0,0.0,22000.0
6,2022,31,1,1,3,12480.0,0.0,3000,9480.0
