Years Elapsed,Cumulative Out-Migrants,Instant Out-Migrants,Average Out-Migrants,Total Re-Migrants,Instant Re-Migrants,Average Re-Migrants,Total Marriages,Total Births,Total Deaths,Average Laborers,Average Household Size,Average Income,Population,GTGP Parcels Per Household,Non-GTGP Parcels Per Household
25,331,83,0.8829787234042553,246,50,0.5319148936170213,36.0,100,62,1.6595744680851063,3.5,19974.63186655529,233,2.351063829787234,0.1595744680851064
26,339,84,0.8936170212765957,253,52,0.5531914893617021,36.0,104,68,1.6595744680851063,3.4680851063829787,20625.990358501458,230,2.351063829787234,0.1595744680851064
27,345,82,0.8723404255319149,261,57,0.6063829787234043,37.0,112,72,1.6702127659574468,3.5319148936170213,20178.584152686835,236,2.351063829787234,0.1595744680851064
28,353,81,0.8617021276595744,270,58,0.6170212765957447,40.0,118,73,1.6808510638297873,3.595744680851064,19949.017860826265,242,2.351063829787234,0.1595744680851064
29,360,81,0.8617021276595744,277,60,0.6382978723404256,42.0,125,76,1.6808510638297873,3.6382978723404253,20010.950807583755,246,2.351063829787234,0.1595744680851064
30,369,82,0.8723404255319149,285,61,0.648936170212766,43.0,129,79,1.6702127659574468,3.6382978723404253,20117.215720680346,246,2.351063829787234,0.1595744680851064
31,375,81,0.8617021276595744,292,63,0.6702127659574468,44.0,134,81,1.6808510638297873,3.6808510638297873,20115.329309984412,250,2.351063829787234,0.1595744680851064
32,392,81,0.8617021276595744,309,64,0.6808510638297872,47.0,137,83,1.6914893617021276,3.6914893617021276,19872.58473152626,251,2.351063829787234,0.1595744680851064
33,402,79,0.8404255319148937,321,67,0.7127659574468085,48.0,139,87,1.702127659574468,3.6914893617021276,19778.746369399243,251,2.351063829787234,0.1595744680851064
34,418,79,0.8404255319148937,337,67,0.7127659574468085,51.0,143,88,1.7127659574468086,3.723404255319149,20017.570779410373,254,2.3617021276595747,0.14893617021276595
35,430,82,0.8723404255319149,346,64,0.6808510638297872,53.0,150,90,1.6808510638297873,3.74468085106383,20494.323671058228,256,2.3617021276595747,0.14893617021276595
36,435,80,0.851063829787234,353,68,0.723404255319149,53.0,165,93,1.702127659574468,3.893617021276596,20117.923720533607,270,2.3617021276595747,0.14893617021276595
37,449,80,0.851063829787234,367,68,0.723404255319149,53.0,169,93,1.7127659574468086,3.9361702127659575,19978.54763245707,274,2.3617021276595747,0.14893617021276595
38,458,78,0.8297872340425532,378,72,0.7659574468085106,53.0,176,94,1.7234042553191489,4.0212765957446805,19776.52553191489,282,2.3617021276595747,0.14893617021276595
39,478,80,0.851063829787234,396,73,0.776595744680851,53.0,179,98,1.702127659574468,3.9893617021276597,19953.739823732947,279,2.372340425531915,0.13829787234042554
40,494,80,0.851063829787234,412,76,0.8085106382978723,55.0,191,102,1.7127659574468086,4.074468085106383,20009.186263590123,287,2.372340425531915,0.13829787234042554
41,512,80,0.851063829787234,430,83,0.8829787234042553,56.0,198,111,1.7234042553191489,4.053191489361702,19887.183268358895,285,2.372340425531915,0.13829787234042554
42,522,81,0.8617021276595744,439,84,0.8936170212765957,57.0,201,117,1.7127659574468086,4.01063829787234,20082.306034647827,281,2.372340425531915,0.13829787234042554
43,533,81,0.8617021276595744,450,86,0.9148936170212766,59.0,203,123,1.7234042553191489,3.9680851063829787,20128.314937818428,277,2.372340425531915,0.13829787234042554
44,546,81,0.8617021276595744,463,89,0.9468085106382979,59.0,209,130,1.7340425531914894,3.9574468085106385,19959.912619790117,276,2.382978723404255,0.1276595744680851
45,558,79,0.8404255319148937,477,94,1.0,60.0,218,136,1.7340425531914894,4.01063829787234,20200.36128732051,281,2.393617021276596,0.11702127659574468
46,573,79,0.8404255319148937,492,97,1.0319148936170213,60.0,225,140,1.7234042553191489,4.042553191489362,20077.844605871876,284,2.393617021276596,0.11702127659574468
47,587,79,0.8404255319148937,506,98,1.0425531914893618,62.0,235,142,1.7234042553191489,4.127659574468085,20189.394985308038,292,2.393617021276596,0.11702127659574468
48,603,80,0.851063829787234,521,99,1.053191489361702,67.0,246,144,1.7340425531914894,4.212765957446808,20202.302157585975,300,2.393617021276596,0.11702127659574468
49,612,80,0.851063829787234,530,98,1.0425531914893618,69.0,251,146,1.7234042553191489,4.24468085106383,20093.05053352003,303,2.393617021276596,0.11702127659574468
50,620,81,0.8617021276595744,537,98,1.0425531914893618,73.0,259,151,1.7234042553191489,4.26595744680851,20291.060450133613,305,2.393617021276596,0.11702127659574468
51,625,80,0.851063829787234,543,100,1.0638297872340425,77.0,261,153,1.7340425531914894,4.276595744680851,20124.778688239,306,2.393617021276596,0.11702127659574468
